ticker,is_all_revenue_growth_larger_than_5,median_revenue_growth,is_all_eps_growth_larger_than_10,median_eps_growth,is_roic_larger_than_15,median_roic,is_roe_larger_than_15,median_roe,icr,peg
AMBA,4,1.06,3,-28.58,4,2.66,3,-0.46,3.725,-1.0
AMC,7,8.43,6,55.2,1,2.08,4,7.32,-1.022,-1.0
AMCX,6,6.35,4,-2.54,1,13.73,5,15.4,4.437,-1.0
AME,7,9.35,5,10.86,0,11.43,8,16.66,14.33,2.72
AMED,7,6.53,4,-9.74,2,7.56,4,9.69,8.133,-1.0
AMKR,7,7.3,7,38.94,2,8.96,3,11.77,15.32,0.47
AMLX,1,0.0,0,-113.21,3,1046.06,2,58.13,-46.92,-1.0
AMN,7,7.59,6,26.32,3,12.96,8,22.86,16.02,0.4
AMPH,7,10.92,6,52.6,0,-0.36,1,2.27,42.66,0.37
AMRK,5,7.17,6,35.29,5,16.21,4,14.64,8.572,0.13
AMRN,7,41.04,7,33.8,4,-0.58,5,32.44,-6156.0,-1.0
AMRX,4,5.64,1,-64.98,0,-0.54,1,-18.93,1.304,-1.0
AMSC,5,5.68,5,9.39,1,-43.96,1,-35.27,-17.55,-1.0
AMSWA,4,1.2,5,6.82,5,15.35,0,9.18,-4.516,5.09
AMWD,9,12.44,6,28.74,4,6.58,3,10.8,8.525,0.46
AMWL,3,20.13,1,-55.93,0,-42.78,1,-16.26,-45.05,-1.0
AMX,3,1.18,4,-5.88,1,10.04,8,21.08,2.445,-1.0
ANAB,4,-5.07,3,-64.47,1,-22.45,1,-12.68,-5.455,-1.0
ANET,9,39.1,7,56.18,10,26.76,10,20.12,-27.92,0.73
ANGI,9,15.96,4,-72.62,2,-2.06,2,-3.27,-4.988,-1.0
ANGO,3,2.18,6,49.16,0,0.43,0,-3.42,-7.118,-1.0
ANIK,8,9.09,4,2.55,6,19.77,2,10.75,-29.66,-1.0
ANIP,7,36.92,4,-55.1,2,2.99,1,1.52,-0.893,-1.0
ANL,0,0.0,0,-3.25,0,0.0,1,24.36,-155.4,-1.0
ANNX,0,0.0,2,-26.32,0,0.0,0,-57.46,-39.87,-1.0
ANSS,8,9.72,4,7.96,6,15.86,1,11.5,26.08,7.82
ANTX,0,0.0,0,-80.32,0,0.0,1,0.91,-82.22,-1.0
AORT,7,5.13,4,-46.5,0,1.38,0,0.97,0.178,-1.0
AOSL,5,5.03,5,21.35,0,0.39,2,0.12,-20.73,-1.0
APEI,5,2.3,3,-7.14,9,21.68,2,7.64,-8.742,-1.0
APH,7,12.2,5,10.29,9,15.91,10,23.98,20.14,2.92
APLS,1,0.0,2,-92.59,0,0.0,0,-132.99,-18.23,-1.0
APPF,9,34.67,5,65.75,2,-2.37,4,11.42,-61.12,-1.0
APPN,7,21.24,1,-66.4,2,-45.03,1,-37.89,-86.68,-1.0
APPS,8,36.24,6,24.28,2,-8.62,2,-21.73,1.977,-1.0
ARAY,4,3.81,6,18.26,0,-3.49,0,-34.46,0.224,-1.0
ARCT,4,0.0,4,1.01,4,0.0,0,-42.18,28.99,8.74
ARDX,7,38.38,5,18.92,1,-136.4,1,-54.52,-12.57,-1.0
ARGX,7,66.71,3,-34.94,2,-30.76,0,-22.9,-184.2,-1.0
ARKO,2,23.27,1,4.65,0,4.45,2,16.75,2.669,4.43
ARLO,4,17.26,2,-3.68,2,-18.4,0,-46.0,-59.48,-1.0
ARMK,4,2.04,8,57.99,0,5.77,3,12.92,1.963,0.19
ARQT,0,0.0,0,-40.05,0,0.0,2,-50.14,-19.27,-1.0
ARVN,5,101.58,1,-40.92,0,-29.35,0,-28.88,-21.93,-1.0
ARW,5,5.64,5,19.29,3,9.09,2,11.92,11.14,0.31
ARWR,5,28.08,3,-18.88,1,-50.24,1,-49.53,-11.19,-1.0
ASAI,5,24.12,3,21.51,3,19.26,4,31.31,1.493,1.09
ASAN,4,62.94,1,-78.75,0,-278.21,2,-16.38,-203.9,-1.0
ASGN,8,14.82,7,15.07,0,8.75,1,12.66,8.922,1.28
ASND,5,-9.82,2,-45.3,3,-90.17,1,-41.1,-11.13,-1.0
ASO,2,9.37,2,233.82,2,16.83,3,33.17,18.23,0.04
ASTS,2,11.44,0,-202.13,0,-96.44,0,-73.06,-2.307,-1.0
ASUR,7,21.04,5,22.27,0,-1.9,0,-9.47,-2.234,-1.0
ASX,9,14.4,6,22.92,1,10.37,3,12.9,24.05,0.67
ATAI,0,0.0,0,-43.28,0,-159.55,1,-54.23,-75.61,-1.0
ATAT,2,5.35,1,0.0,1,12.08,1,8.19,25.37,-1.0
ATEC,4,2.7,4,-20.6,0,-38.51,3,-28.28,-22.0,-1.0
ATEN,7,10.86,6,44.74,3,-17.89,4,-13.66,31.84,0.56
ATEX,6,14.72,4,0.83,0,-31.61,1,-15.24,0.702,92.05
ATGE,2,-1.26,5,26.3,0,7.64,1,6.87,2.663,0.9
ATHM,6,16.44,7,30.02,4,14.26,9,263.55,0.083,0.35
ATNI,6,5.49,3,-60.11,0,4.3,1,2.17,1.056,-1.0
ATRC,9,18.03,4,-26.07,0,-10.42,0,-13.23,-8.558,-1.0
ATRI,4,3.72,2,4.78,6,18.52,7,16.58,26.34,6.06
ATUS,0,0.99,2,68.47,0,3.93,1,-19.85,0.263,-1.0
ATXS,0,0.0,7,43.95,1,0.0,1,-73.47,32.06,-1.0
AUDC,8,10.36,6,59.65,1,8.42,2,8.67,10.94,0.48
AUGX,3,34.53,1,-7.27,1,-691.68,0,-471.73,-10.77,-1.0
AUPH,4,-12.24,4,-7.77,0,-69.22,0,-40.24,-21.78,-1.0
AURA,0,0.0,2,35.06,0,0.0,1,-22.6,70.94,-1.0
AUTL,4,102.76,3,12.07,0,-219.9,0,-46.98,-18.39,-1.0
AVDL,2,-13.65,4,-55.97,3,-6.86,5,32.12,-7.986,-1.0
AVDX,3,27.33,1,-8.77,0,-28.25,0,-27.61,-4.211,-1.0
AVIR,1,0.0,1,-62.97,0,0.0,2,7.54,-11.72,-1.0
AVNS,3,1.81,6,37.7,0,0.31,0,2.72,7.4,-1.0
AVNW,3,-0.96,5,15.89,1,-1.37,1,1.79,0.0,1.29
AVO,1,2.72,2,-3.06,0,5.92,1,6.08,0.595,-1.0
AVT,5,5.28,4,6.86,0,9.91,2,10.47,4.731,0.79
AVTE,0,0.0,1,-12.83,0,0.0,1,-13.32,30.4,-1.0
AVTR,3,5.86,5,111.11,1,6.09,0,4.36,4.252,0.37
AVXL,0,0.0,4,-14.81,0,0.0,0,-94.53,-57.44,-1.0
AXGN,10,40.63,3,5.91,0,-72.95,1,-25.99,-47.61,-1.0
AXNX,5,257.02,3,14.54,0,-72.3,1,-17.86,-17.41,-1.0
AXSM,0,0.0,1,-38.05,0,0.0,8,37.8,-24.06,-1.0
AYX,7,59.4,3,-6.98,2,0.9,0,-11.4,-26.41,-1.0
AZPN,6,9.86,6,25.96,3,-21.6,4,-0.21,0.0,-1.0
AZTA,7,11.31,6,40.17,0,1.25,1,1.56,0.0,-1.0
BALY,3,11.78,3,-8.97,0,7.52,3,11.12,1.046,-1.0
BAND,7,16.77,4,40.44,3,2.62,1,0.92,-7.98,0.31
BASE,3,25.18,1,-37.08,0,-63.09,0,-45.58,-669.8,-1.0
BAX,5,4.64,4,-12.2,0,7.15,4,13.42,-1.39,-1.0
BB,1,-24.2,4,-173.2,2,-5.59,1,-7.67,0.363,-1.0
BBAI,2,52.1,1,-1200.95,0,-33.03,1,110.15,-3.476,-1.0
BBIO,2,0.0,1,-64.66,0,-129.27,3,39.37,-5.866,-1.0
BC,6,6.4,6,15.98,6,15.26,8,20.28,9.662,0.76
BCRX,4,-11.21,3,-9.79,3,-131.06,4,14.06,-1.498,-1.0
BCYC,4,23.59,0,-34.43,0,-635.44,1,-32.84,-34.88,-1.0
BDX,5,6.52,3,-23.54,0,4.78,1,7.76,4.67,-1.0
BEAM,3,17.52,2,3.1,0,-83.87,0,-77.71,-22.13,-1.0
BELFA,6,13.96,7,143.72,1,2.57,1,6.92,19.28,0.07
BELFB,6,13.96,7,143.72,1,2.57,1,6.92,19.28,0.07
BFAM,9,10.1,7,52.02,1,6.66,3,11.25,3.991,1.26
BFLY,2,26.29,1,-121.41,0,-144.8,0,-29.55,-96510.0,-1.0
BGNE,5,16.95,2,-30.29,0,-53.45,1,-38.42,-34.1,-1.0
BHC,4,-0.52,6,63.14,0,0.64,4,-10.71,0.936,-1.0
BHE,4,2.78,5,10.2,0,5.38,0,4.18,6.985,1.38
BIIB,7,7.04,6,32.6,8,20.78,9,28.84,9.409,0.75
BILI,7,67.3,0,-67.52,0,-24.48,0,-31.37,-33.31,-1.0
BILL,5,64.8,1,-69.01,0,-7.36,0,-4.37,-19.45,-1.0
BIO,3,2.76,5,-19.03,0,2.88,3,4.3,12.66,-1.0
BIOX,6,23.93,3,8.57,2,11.74,0,-4.35,2.548,8.97
BIRK,1,70.77,0,0.0,0,6.52,0,7.94,4.393,-1.0
BJ,3,5.64,4,25.12,2,14.56,3,22.07,15.55,0.68
BKD,2,-2.3,4,-16.34,0,-0.96,0,-19.04,-0.413,-1.0
BL,8,27.78,3,-15.26,0,-7.15,0,-13.18,-6.448,-1.0
BLCO,1,0.08,1,-92.31,0,0.45,0,0.21,1.418,-1.0
BLDP,5,5.32,3,-15.49,0,-27.68,0,-12.32,-124.2,-1.0
BLKB,8,9.95,5,28.99,0,5.82,4,12.09,-0.552,-1.0
BLND,2,89.52,0,-154.69,0,-53.94,0,-45.68,-11.34,-1.0
BLTE,0,0.0,0,-61.02,0,0.0,1,17.41,-801.3,-1.0
BLZE,3,26.2,0,-256.67,0,-54.17,1,-22.73,-11.29,-1.0
BMBL,3,26.88,2,-279.96,1,5.52,2,12.19,4.274,-1.0
BMEA,0,0.0,0,-246.0,0,0.0,0,-73.73,46.31,-1.0
BMI,4,4.38,4,5.26,3,13.58,2,13.13,158.1,9.89
BMRN,9,13.92,6,31.22,1,-1.72,1,-3.38,3.603,3.83
BNTX,3,107.14,3,44.74,2,1.71,2,1.11,668.9,0.18
BOWL,2,16.16,2,75.0,0,-3.9,1,-15.56,1.811,0.19
BOX,10,23.59,4,8.08,4,-18.56,1,-113.14,-15.14,8.95
BPMC,5,13.27,2,-27.46,4,0.0,1,-56.48,-32.76,-1.0
BRBR,5,15.85,3,15.3,6,32.66,2,-4.16,4.294,2.83
BRCC,3,42.22,1,-570.0,1,-54.64,0,-4.2,-42.54,-1.0
BRFS,6,8.92,5,-13.19,2,8.53,3,6.1,0.15,-1.0
BRKR,4,3.68,4,7.27,4,13.9,6,18.01,26.88,4.5
BROS,3,48.42,1,-74.47,0,-0.32,0,-3.68,-0.145,-1.0
BSX,6,7.28,7,64.78,1,5.15,2,3.94,3.509,1.1
BSY,4,11.34,2,41.51,2,14.5,4,30.66,6.023,2.12
BTI,5,3.06,5,7.45,3,6.64,5,33.37,6.328,1.26
BTMD,2,18.95,1,-58.73,1,-4.93,1,393.89,-11.93,-1.0
BV,3,4.95,3,-236.28,0,2.7,0,0.26,1.037,-1.0
BVH,8,13.32,2,-25.6,0,3.39,4,13.24,3.014,-1.0
BVS,4,12.7,3,-42.01,0,3.89,0,-3.16,-1.383,-1.0
BWMX,4,35.72,2,-26.47,4,84.4,4,104.02,3.414,-1.0
BWXT,6,5.2,7,14.84,7,15.93,9,48.74,9.573,2.21
BYD,6,7.45,7,43.52,1,7.34,4,11.25,6.487,0.21
BYND,5,68.96,1,-142.68,0,-39.66,2,-8.8,-86.43,-1.0
BZ,3,94.65,1,-91.59,2,148.17,1,0.92,-0.803,-1.0
CABA,0,0.0,2,-189.59,0,0.0,0,-34.13,45.96,-1.0
CABO,6,8.96,4,6.43,1,8.52,8,20.45,3.914,5.43
CACI,6,6.86,5,8.74,0,7.19,1,11.56,6.767,2.26
CAG,4,2.28,4,-47.98,0,4.84,3,9.56,2.684,-1.0
CAH,9,6.66,5,13.16,4,12.44,7,19.17,7.817,12.83
CALT,2,0.0,2,-3.08,0,-73.35,1,-36.06,-33.69,-1.0
CALX,6,11.92,5,2.47,1,-8.86,1,-9.15,26.19,23.75
CAMT,7,11.36,6,29.44,5,13.5,5,12.86,50.71,1.36
CAN,3,106.8,4,105.26,2,12.2,2,14.93,35.0,-1.0
CARR,1,-1.28,1,-18.19,0,11.58,4,28.14,7.99,-1.0
CASS,5,4.54,3,-1.53,0,-2.82,1,11.84,13.32,-1.0
CBAY,0,0.0,4,-12.73,0,0.0,0,-55.04,-6.246,-1.0
CBUS,4,8.97,3,-9.54,0,-157.79,0,-92.13,-298.3,-1.0
CCCC,3,24.18,2,14.71,1,-28.26,1,-22.85,-58.45,-1.0
CCEP,5,9.3,5,5.44,0,7.41,5,15.84,11.52,-1.0
CCL,4,4.3,5,20.48,0,8.14,0,7.39,-2.447,-1.0
CCOI,7,6.79,4,-13.1,3,11.0,1,-9.32,1.686,-1.0
CCSI,1,-8.93,0,-31.12,3,23.59,0,-28.42,2.954,-1.0
CCU,7,8.68,6,15.14,2,12.44,2,11.21,2.881,1.25
CDAY,4,15.84,2,-50.83,0,0.18,0,-2.11,-1.199,-1.0
CDMO,7,22.15,6,23.3,5,21.68,1,-28.22,-1.003,-1.0
CDNA,9,33.98,5,6.94,1,-24.59,1,-12.26,-20.53,-1.0
CDNS,8,10.07,5,77.55,5,23.38,3,13.07,0.0,0.97
CDT,0,0.0,0,-40.0,0,0.0,1,48.5,0.0,-1.0
CDW,9,8.14,7,19.37,4,14.02,10,57.0,7.362,1.39
CELC,0,0.0,1,-28.99,0,0.0,0,-36.38,-18.7,-1.0
CELH,10,44.16,3,-26.15,0,-63.16,3,-9.93,-29.82,-1.0
CENT,6,7.71,6,29.52,0,8.3,0,10.26,3.694,0.67
CENTA,6,7.71,6,29.52,0,8.3,0,10.26,3.694,0.67
CERE,1,0.0,3,-5.07,3,0.0,0,-82.97,-38.24,-1.0
CERS,8,19.88,5,11.6,0,-91.47,0,-80.28,-5.845,-1.0
CERT,4,17.4,3,87.68,0,2.04,0,-1.54,1.83,-1.0
CEVA,7,13.5,4,0.0,0,1.37,0,0.18,10.61,-1.0
CGEM,0,0.0,2,-1.07,1,0.0,3,34.97,-0.257,-1.0
CGNT,7,9.39,5,-4.24,0,-3.96,3,4.02,-64.7,-1.0
CGNX,7,10.45,6,22.38,8,44.0,7,15.86,15.09,1.86
CHD,6,5.56,4,7.78,2,14.18,9,23.13,6.672,7.06
CHDN,7,10.67,7,68.88,0,7.31,6,18.86,3.815,0.38
CHE,5,4.38,4,4.91,9,20.16,10,26.14,74.93,7.31
CHEF,9,18.43,6,24.32,0,5.29,0,6.76,1.955,2.32
CHGG,6,19.54,6,21.85,2,-4.92,1,-4.41,18.21,5.65
CHH,6,7.32,4,6.13,10,36.42,2,-38.55,10.93,3.33
CHKP,5,5.74,3,7.94,10,18.4,10,22.04,20.1,2.69
CHRS,5,16.8,5,12.22,7,79.65,6,66.22,-7.91,-1.0
CHTR,7,7.27,5,12.68,2,6.08,4,11.15,2.626,0.91
CHWY,5,37.19,4,21.74,4,45.63,4,62.38,6.001,33.21
CI,7,8.16,5,7.69,0,4.55,4,14.42,7.739,2.96
CIEN,7,7.32,7,49.16,3,10.33,3,10.57,4.062,0.59
CL,1,1.33,3,-19.9,10,29.04,6,143.8,25.96,-1.0
CLAR,6,11.67,6,90.3,0,-0.7,0,1.15,0.454,-1.0
CLDX,4,-18.95,4,2.13,0,-46.29,0,-41.6,39.61,-1.0
CLFD,7,9.14,6,12.7,4,11.73,2,9.73,42.32,1.0
CLOV,3,118.75,2,50.0,0,-126.55,1,-87.83,-272.1,-1.0
CLS,3,-0.92,4,0.6,0,8.07,0,7.59,4.41,27.93
CLVT,4,29.48,1,0.0,0,0.25,0,-23.05,-14.52,-1.0
CLX,2,2.2,4,-4.08,9,23.09,10,138.01,13.6,-1.0
CMPR,8,10.1,3,-48.34,2,9.74,7,24.33,0.508,-1.0
CMPS,0,0.0,1,-18.77,0,0.0,1,-27.96,18.3,-1.0
CMPX,0,0.0,1,-14.12,0,0.0,1,-39.6,-17.65,-1.0
CMTL,5,6.12,5,-0.76,0,3.96,0,2.29,-0.906,-1.0
CNC,10,24.78,5,9.06,3,8.08,2,10.03,5.468,1.93
CNK,5,5.1,5,13.19,0,7.52,4,14.13,0.514,1.13
CNMD,4,3.84,2,-45.68,0,3.86,0,5.38,2.424,-1.0
CNTA,0,0.0,1,-1194.14,0,0.0,0,-70.91,-30.18,-1.0
COCO,3,12.73,2,126.42,2,20.32,2,15.44,11.84,0.31
COGT,3,8.22,2,-39.31,2,0.0,0,-54.6,-37.06,-1.0
COHU,7,18.42,5,-1.77,1,2.61,1,0.7,30.06,-1.0
COKE,6,6.96,7,72.08,1,4.38,5,17.08,25.86,0.26
COLL,4,4.48,5,48.88,3,0.0,2,-12.83,-1.654,2.49
COLM,6,9.64,6,21.7,6,16.36,4,12.37,144.9,0.76
COMM,4,3.28,4,-19.9,0,4.2,3,4.88,0.8,-1.0
COMP,2,55.95,1,8.61,0,-65.82,0,-58.4,-150.1,-1.0
COO,6,8.74,4,-7.63,1,7.04,1,10.15,8.859,-1.0
COOK,2,43.92,1,-303.8,0,-5.54,0,-14.57,-3.74,-1.0
COR,9,9.78,4,8.12,3,8.62,6,27.61,10.22,3.12
CORT,9,59.74,6,19.36,9,143.45,8,22.82,31.67,1.34
COTY,3,-1.46,6,55.06,0,1.92,2,-1.82,2.108,0.5
CPB,3,0.06,6,83.28,4,11.38,10,34.25,6.979,0.2
CPRX,4,0.0,5,7.83,3,0.0,4,-29.6,-24.72,3.18
CRBU,2,44.3,1,-45.88,0,-38.22,1,-17.26,12.46,-1.0
CRESY,7,64.56,4,-73.18,0,2.72,5,3.36,-0.908,-1.0
CRL,9,11.94,5,13.71,0,8.36,9,16.76,10.98,1.67
CRNC,5,10.65,4,10.51,1,3.84,0,0.59,-1.842,-1.0
CRNT,2,-2.17,6,18.34,3,2.54,0,-3.33,0.215,2.58
CRNX,4,132.96,0,-16.45,0,-72.1,6,48.14,-38.89,-1.0
CRON,6,59.33,4,-160.0,0,-3.52,1,-4.36,-5.148,-1.0
CROX,6,6.24,6,81.96,5,10.99,5,18.17,6.248,0.11
CRSP,4,346.98,2,-107.97,3,-49.05,2,-15.46,14.37,-1.0
CRSR,3,14.43,1,-4.3,1,8.41,2,6.95,-5.965,-1.0
CRTO,6,18.2,5,16.48,6,16.45,0,9.73,15.97,11.21
CRUS,7,7.44,5,9.81,6,16.42,4,14.16,48.62,3.08
CRWD,5,81.64,2,-3.8,1,-46.91,0,-19.1,-7.509,-1.0
CSGP,10,18.08,8,61.74,0,8.55,0,4.88,14.04,1.36
CSGS,3,2.44,5,3.58,3,13.58,6,17.24,7.971,5.98
CSTL,5,50.18,2,-108.06,1,-30.81,1,-2.47,-5361.0,-1.0
CSV,4,4.42,6,41.12,0,3.66,3,11.68,3.079,0.29
CTKB,3,37.87,1,-60.0,1,7.2,0,0.61,-0.71,-1.0
CTLT,5,7.26,6,38.97,1,3.73,3,9.5,-0.745,-1.0
CTS,4,1.72,4,-13.27,0,7.12,0,8.56,25.13,-1.0
CTSH,7,9.35,4,6.85,7,17.17,7,17.66,156.2,2.75
CTV,3,31.24,2,67.44,0,-16.63,0,-7.11,2.228,-1.0
CTVA,2,6.4,3,113.75,0,4.7,0,3.64,23.65,0.3
CUK,4,4.3,5,20.48,0,8.14,0,7.39,-2.447,-1.0
CVAC,3,72.99,1,-34.41,2,44.94,1,-32.42,-67.29,-1.0
CVEO,4,0.4,6,32.39,0,-7.05,0,-20.27,2.434,-1.0
CVGW,7,9.66,4,-11.6,6,15.38,3,12.84,-4.948,-1.0
CVLT,5,5.0,3,-29.07,5,12.16,0,0.08,114.5,-1.0
CVRX,2,72.32,2,51.44,1,-400.18,0,-29.51,-257.7,-1.0
CWAN,3,20.95,2,70.63,1,3.86,0,-2.48,4.5,-1.0
CWH,6,11.59,4,10.28,6,17.85,6,246.54,4.827,-1.0
CYBR,10,28.78,4,-5.84,4,12.12,0,7.96,-51.16,-1.0
CYH,1,-3.2,4,-38.58,0,4.27,3,3.12,0.957,-1.0
CYTK,7,43.72,4,-11.04,1,-46.04,3,-58.3,-6.338,-1.0
CZR,9,38.45,6,29.74,1,3.86,2,7.54,0.768,0.46
DAKT,5,5.3,5,-0.89,0,4.07,0,3.1,-33.2,-1.0
DAR,4,4.56,4,38.05,0,2.51,0,3.88,0.0,0.26
DASH,4,136.74,1,-188.94,0,-37.8,0,-15.14,-516.0,-1.0
DAVA,7,32.31,6,18.75,5,19.2,4,16.48,58.02,2.51
DAWN,0,0.0,0,-98.96,0,0.0,3,55.25,-30.95,-1.0
DBD,3,-2.18,4,-111.06,1,-1.0,6,19.7,-0.627,-1.0
DBX,6,17.27,3,-162.19,4,38.16,0,-92.66,161.1,-1.0
DCBO,5,53.08,2,-32.43,5,53.27,1,-3.81,-18.42,-1.0
DCGO,3,94.8,3,112.5,1,13.34,0,10.81,28.62,0.43
DCPH,3,0.0,1,-6.94,0,-45.23,1,-35.66,-40.49,-1.0
DDD,4,1.99,3,-58.68,0,-9.64,1,-9.28,-17.89,-1.0
DDOG,5,70.51,3,12.5,0,-1.72,0,-2.14,-1.892,-1.0
DELL,4,2.54,3,-0.6,0,-1.04,2,-42.26,4.723,-1.0
DEO,6,5.6,8,24.9,6,15.72,10,25.8,6.673,2.74
DFIN,1,-3.48,3,-9.72,4,14.69,5,23.92,15.76,-1.0
DGII,7,10.48,6,17.39,0,0.64,0,2.62,-1.985,2.0
DGX,2,1.68,5,8.2,1,10.02,7,15.45,10.35,2.42
DH,2,37.25,2,40.6,0,-0.94,0,-4.68,-2.75,-1.0
DIOD,7,10.92,6,43.32,2,8.71,2,9.24,49.06,0.26
DJCO,4,1.96,4,-38.16,0,1.42,1,0.55,1.536,-1.0
DKNG,4,81.43,1,-44.16,1,-87.98,1,-61.1,-80.83,-1.0
DLB,6,5.46,4,2.62,2,12.6,0,9.48,-1362.0,15.64
DNLI,2,0.0,3,-8.79,0,-10.75,0,-30.2,-23.06,-1.0
DNUT,3,16.95,1,-13.16,0,1.2,0,-1.21,0.85,-1.0
DOCN,3,34.46,2,10.87,0,-3.59,1,-3.37,-1.859,-1.0
DOCS,3,66.02,2,64.71,2,20.09,2,17.62,-15.55,0.72
DOMO,6,22.21,2,3.18,6,314.12,5,76.57,-5.734,-1.0
DOX,3,2.85,2,3.28,1,12.54,3,13.4,37.1,6.07
DOYU,4,62.79,4,39.74,3,28.95,2,7.7,-1.532,0.41
DRTS,0,0.0,0,-32.5,0,0.0,2,78.42,-18.17,-1.0
DSGX,10,15.18,9,16.4,0,5.62,0,5.46,111.8,3.86
